pickup_dow,trips,avg_fare,avg_distance
Wednesday,2885112,18.453934266676416,3.6092335687488526
Tuesday,2694946,18.615658005763112,4.246368929099155
Friday,2378526,18.19537292423958,3.676450995280262
Thursday,2497644,18.603850388605714,3.540860146602223
Saturday,2443500,17.248652105586125,3.387854683855231
Monday,2359794,19.711421997004724,3.775206700246017
Sunday,1960446,18.713754257959096,3.9029403411265116
